CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
Turn Out,,,,,
Constituency 50. Hansi,,,TOTAL ELECTORS :,143621,
6 1 VINOD BHAYANA,,M 51 GEN HJCBL,36488 41,36529,34.36
1 2 PROF. CHATTAR PAL SINGH,,M 49 GEN INC,30140 106,30246,28.45
2 3 DHARA SINGH,,M 64 GEN INLD,19400 38,19438,18.28
4 4 MANGE RAM,,M 40 GEN BSP,7676 3,7679,7.22
3 5 MAMAN RAM,,M 59 GEN BJP,6164 1,6165,5.80
15 6 RAM KISHAN,,M 54 GEN IND,1808 1,1809,1.70
7 7 RAMESH CHANDER,,M 42 GEN SMBHP,1473 1,1474,1.39
12 8 DEVENDER SINGH,,M 45 GEN IND,1015 0,1015,0.95
16 9 VINOD,,M 35 GEN IND,552 0,552,0.52
14 10 RAJBIR,,M 42 GEN IND,303 0,303,0.29
5 11 SATYAWAN DUHAN,,M 42 GEN NCP,296 1,297,0.28
9 12 VIJAY KUMAR,,M 27 SC RASJP,188 0,188,0.18
11 13 ARJUN,,M 45 GEN IND,181 0,181,0.17
8 14 VAID RATTAN DEV JANGRA,,M 57 GEN RASAP,162 0,162,0.15
13 15 MANOJ,,M 29 GEN IND,159 0,159,0.15
10 16 AJAY ALIAS SETHI,,M 38 GEN IND,116 0,116,0.11
,TOTAL:,106121 192,106313,74.02
Turn Out,,,,,
Constituency 51. Barwala,,,TOTAL ELECTORS :,126513,
4 1 RAM NIWAS GHORELA,,M 41 GEN INC,29942 56,29998,31.80
5 2 SHEELA BHAYAN,,F 45 GEN INLD,20560 42,20602,21.84
6 3 SUBHASH TAK,,M 37 GEN HJCBL,18762 23,18785,19.91
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
12 4 JOGI RAM SIHAG,,M 48 GEN IND,11119 3,11122,11.79
3 5 BALWAN SINGH ARYA,,M 37 GEN BSP,4764 4,4768,5.05
2 6 JITENDER JOG,,M 41 GEN BJP,3847 7,3854,4.09
7 7 COMRADE SURESH KUMAR,,M 49 GEN CPM,1503 1,1504,1.59
8 8 ANANT RAM,,M 52 GEN RARS,753 0,753,0.80
18 9 RAJIV,,M 37 GEN IND,586 0,586,0.62
11 10 KAMLESH SIHAG,,F 40 GEN IND,461 0,461,0.49
16 11 MAHESH KUMAR,,M 44 GEN IND,451 0,451,0.48
1 12 JAGBIR,,M 40 GEN NCP,335 0,335,0.36
13 13 BALJEET SINGH POONIA,,M 42 GEN IND,321 0,321,0.34
14 14 BALWAN,,M 62 GEN IND,228 0,228,0.24
17 15 RAJKUMAR,,M 45 GEN IND,175 0,175,0.19
15 16 MANOJ KUMAR,,M 44 GEN IND,148 0,148,0.16
10 17 ARVIND KUMAR,,M 30 GEN IND,137 0,137,0.15
9 18 ROSHAN LAL,,M 28 GEN SMBHP,117 0,117,0.12
,TOTAL:,94209 136,94345,74.57
Turn Out,,,,,
Constituency 52. Hisar,,,TOTAL ELECTORS :,118017,
5 1 SAVITRI JINDAL,,F 59 GEN INC,32822 44,32866,42.12
12 2 GAUTAM SARDANA,,M 34 GEN IND,18108 30,18138,23.24
3 3 RAMNIWAS RARA,,M 48 GEN HJCBL,14428 9,14437,18.50
6 4 HANUMAN AREN,,M 36 GEN INLD,6523 4,6527,8.36
1 5 RAVI KUMAR SAINI,,M 43 GEN BJP,2592 2,2594,3.32
2 6 RAJENDER SHARMA,,M 49 GEN BSP,943 1,944,1.21
4 7 SATPAL,,M 40 GEN NCP,362 0,362,0.46
14 8 RACHNA KAPOOR,,F 28 GEN IND,330 0,330,0.42
16 9 HARISH GOYENKA,,M 34 GEN IND,324 0,324,0.42
8 10 BHIM SINGH MAHESHWAL,,M 39 SC LJP,306 0,306,0.39
13 11 CHANDER PARKASH,,M 44 GEN IND,298 0,298,0.38
11 12 ATTAM PARKASH RAHEJA,,M 42 GEN IND,271 0,271,0.35
10 13 ANIL KUMAR,,M 34 GEN IND,209 0,209,0.27
9 14 ANKIT,,M 28 GEN IND,185 0,185,0.24
7 15 GANGA SINGH,,M 41 GEN SMBHP,135 0,135,0.17
15 16 SUDHARSHAN KUMAR,,M 49 SC IND,104 0,104,0.13
,TOTAL:,77940 90,78030,66.12
Turn Out,,,,,
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
5 1 SAMPAT SINGH,,M 62 GEN INC,37998 140,38138,40.45
2 2 JASMA DEVI,,F 63 GEN HJCBL,27180 57,27237,28.88
4 3 RANBIR SINGH,,M 45 GEN INLD,21765 34,21799,23.12
1 4 GANGADHAR,,M 69 GEN BSP,2873 4,2877,3.05
3 5 MADAN RAWALWASIA,,M 37 GEN BJP,1143 1,1144,1.21
15 6 CHHOTU RAM S/O KIRTA RAM,,M 41 GEN IND,282 0,282,0.30
18 7 RAJENDER SINGH,,M 44 GEN IND,280 0,280,0.30
13 8 KRISHNA PANGHAL,,F 45 GEN IND,270 0,270,0.29
6 9 VIRENDER SINGH,,M 39 GEN HASWP,252 1,253,0.27
11 10 INDER SINGH,,M 33 GEN IND,252 0,252,0.27
12 11 KULDEEP SINGH,,M 32 GEN IND,248 0,248,0.26
21 12 SATISH,,M 25 GEN IND,245 0,245,0.26
16 13 NARENDER,,M 42 GEN IND,237 0,237,0.25
8 14 SURENDER SINGH,,M 34 GEN SMBHP,231 0,231,0.24
7 15 ARYA SURENDER SINGH,,M 34 GEN RARS,184 0,184,0.20
17 16 RAJENDER,,M 45 GEN IND,153 0,153,0.16
20 17 SAJAN LAWAT,,M 45 GEN IND,130 0,130,0.14
10 18 ASHOK SINGH,,M 38 GEN IND,100 0,100,0.11
14 19 CHHOTU RAM S/O LADHU,,M 44 GEN IND,83 0,83,0.09
9 20 AMILAL,,M 36 GEN IND,80 0,80,0.08
19 21 RAN SINGH,,M 49 GEN IND,72 0,72,0.08
,TOTAL:,94058 237,94295,77.38
Turn Out,,,,,
Constituency 54. Loharu,,,TOTAL ELECTORS :,143693,
3 1 DHARAM PAL,,M 62 GEN INLD,30818 69,30887,27.14
12 2 JAI PARKASH DALAL,,M 52 GEN IND,30250 14,30264,26.59
7 3 SOMVIR SINGH S/O GANPAT,,M 58 GEN INC,24317 63,24380,21.42
RAM,,,,,
17 4 RATTANPAL,,M 35 GEN IND,6710 0,6710,5.90
6 5 RAVI,,M 39 GEN BSP,5929 1,5930,5.21
5 6 MADAN LAL,,M 45 GEN HJCBL,5690 3,5693,5.00
19 7 PILOT SANDEEP ARYA,,M 39 GEN IND,4413 3,4416,3.88
2 8 DAYANAND POONIA,,M 46 GEN CPM,1565 1,1566,1.38
4 9 DHARAMVEER,,M 51 GEN BJP,881 3,884,0.78
8 10 KAPOOR SINGH,,M 29 GEN SMBHP,385 0,385,0.34
11 11 CHANDER BHAN,,M 32 GEN IND,368 0,368,0.32
10 12 ISHWAR SINGH LAKHLAN,,M 39 GEN IND,335 0,335,0.29
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
14 13 PAWAN KUMAR,,M 36 GEN IND,328 0,328,0.29
9 14 PUSHPA RANI,,F 48 SC ABLTP,262 2,264,0.23
18 15 RAJBIR SINGH,,M 28 GEN IND,261 0,261,0.23
13 16 DHOOP SINGH,,M 72 GEN IND,255 0,255,0.22
16 17 MOHAN LAL,,M 60 GEN IND,215 0,215,0.19
21 18 SOMBIR S/O CHUNI LAL,,M 44 GEN IND,214 0,214,0.19
1 19 OM PAL,,M 45 GEN NCP,192 5,197,0.17
20 20 SADHU RAM,,M 32 SC IND,171 0,171,0.15
15 21 PRAKASH,,M 37 GEN IND,95 0,95,0.08
,TOTAL:,113654 164,113818,79.21
Turn Out,,,,,
Constituency 55. Badhra,,,TOTAL ELECTORS :,147668,
4 1 RAGHBIR SINGH,,M 65 GEN INLD,34241 39,34280,32.65
5 2 RANBIR SINGH MAHENDRA,,M 65 GEN INC,33536 35,33571,31.97
6 3 RAN SINGH,,M 63 GEN HJCBL,24936 27,24963,23.78
1 4 DALBIR S/O NEKI RAM,,M 37 GEN BSP,4777 0,4777,4.55
3 5 NARPENDER SINGH,,M 48 GEN BJP,4570 5,4575,4.36
8 6 NARENDER,,M 31 GEN SMBHP,573 0,573,0.55
9 7 PAWAN KUMAR,,M 25 GEN RLD,378 0,378,0.36
7 8 KAMLESH,,F 36 GEN IJP,367 0,367,0.35
11 9 SURNEDER,,M 32 GEN SP,301 0,301,0.29
2 10 DALBIR S/O SURAT SINGH,,M 49 GEN NCP,212 5,217,0.21
16 11 RAMESHWER SINGH,,M 46 GEN IND,213 0,213,0.20
12 12 ASHOK,,M 41 GEN IND,192 1,193,0.18
10 13 MANGLI RAM,,M 43 SC BHBP,141 1,142,0.14
13 14 OM NIWAS,,M 30 GEN IND,129 0,129,0.12
14 15 DALIP SINGH,,M 61 SC IND,92 0,92,0.09
18 16 SATBIR,,M 42 GEN IND,84 0,84,0.08
17 17 SANJAY,,M 30 GEN IND,83 0,83,0.08
15 18 NARENDER SINGH,,M 39 GEN IND,57 0,57,0.05
,TOTAL:,104882 113,104995,71.10
Turn Out,,,,,
Constituency 56. Dadri,,,TOTAL ELECTORS :,146447,
5 1 SATPAL,,M 67 GEN HJCBL,27735 55,27790,28.22
4 2 RAJDEEP,,M 38 GEN INLD,27601 44,27645,28.08
3 3 MAJOR NIRPENDER SINGH,,M 54 GEN INC,26257 111,26368,26.78
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
1 4 ANIL KAUSHIK,,M 46 GEN NCP,6649 6,6655,6.76
6 5 SOMBIR,,M 30 GEN BSP,3713 0,3713,3.77
2 6 OM PRAKASH DHANKAR,,M 48 GEN BJP,3153 3,3156,3.21
11 7 SUSHIL KUMAR,,M 37 GEN LJP,484 0,484,0.49
7 8 AJIT,,M 47 GEN SMBHP,428 1,429,0.44
10 9 DIWAN SINGH,,M 33 GEN AHNP,407 0,407,0.41
20 10 SATYAPAL S/O BHOPAL,,M 47 GEN IND,302 0,302,0.31
9 11 JAIBIR,,M 35 GEN SP,270 0,270,0.27
15 12 DOCTOR PURANMAL,,M 74 GEN IND,230 0,230,0.23
SHARMA-RANILA,,,,,
19 13 SATYAPAL S/O JOGA RAM,,M 56 GEN IND,191 0,191,0.19
16 14 PARDEEP,,M 34 GEN IND,189 0,189,0.19
12 15 GOPI RAM,,M 46 GEN IND,181 0,181,0.18
13 16 DHARAMPAL SANGWAN,,M 59 GEN IND,128 0,128,0.13
14 17 DHARMENDER,,M 36 GEN IND,112 1,113,0.11
17 18 RAMESH,,M 31 GEN IND,109 0,109,0.11
8 19 KAPOOR SINGH,,M 39 GEN RPI,61 0,61,0.06
18 20 RAJENDER KUMAR,,M 37 GEN IND,41 0,41,0.04
,TOTAL:,98241 221,98462,67.23
Turn Out,,,,,
Constituency 57. Bhiwani,,,TOTAL ELECTORS :,145957,
2 1 GHANSYAM SARAF,,M 45 GEN BJP,27325 12,27337,28.44
5 2 DR. SHIV SHANKER,,M 55 GEN INC,24646 46,24692,25.69
BHARDWAJ,,,,,
4 3 VASUDEV SHARMA,,M 56 GEN INLD,18179 38,18217,18.95
9 4 PARAMJEET SINGH MADDU,,M 46 GEN IND,5730 1,5731,5.96
10 5 BISHAMBER,,M 47 GEN IND,5167 8,5175,5.38
8 6 OM PARKASH MANN,,M 57 GEN IND,4227 2,4229,4.40
3 7 RAVI SHANKAR,,M 50 GEN BSP,2977 0,2977,3.10
1 8 KUSUM SHARMA,,F 37 GEN HJCBL,2804 2,2806,2.92
14 9 RAMESH VERMA,,M 48 GEN IND,1477 1,1478,1.54
22 10 VIRENDER KUMAR KIRORI,,M 42 GEN IND,885 11,896,0.93
16 11 COMRADE RAJ KUMAR,,M 50 GEN IND,359 0,359,0.37
7 12 SHIV KUMAR,,M 33 GEN SMBHP,350 0,350,0.36
6 13 DAYANAND,,M 32 GEN HASWP,280 0,280,0.29
21 14 VINAY PARMAR,,M 32 GEN IND,228 0,228,0.24
13 15 RAMESH CHANDER,,M 37 GEN IND,196 0,196,0.20
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
20 16 VAS DEV SINGH,,M 51 GEN IND,190 0,190,0.20
15 17 RAVI KUMAR,,M 46 GEN IND,179 0,179,0.19
17 18 RAMPHAL,,M 35 GEN IND,178 0,178,0.19
18 19 RAMOTAR,,M 33 GEN IND,177 0,177,0.18
12 20 MAHESH,,M 27 GEN IND,160 0,160,0.17
11 21 BHUPENDER SINGH,,M 33 GEN IND,145 0,145,0.15
19 22 LAXMI NARAYAN ASEEJA,,M 39 GEN IND,143 0,143,0.15
,TOTAL:,96002 121,96123,65.86
Turn Out,,,,,
Constituency 58. Tosham,,,TOTAL ELECTORS :,158501,
2 1 KIRAN CHOUDHARY,,F 53 GEN INC,62261 29,62290,57.65
3 2 COL. GAJRAJ SINGH,,M 66 GEN INLD,16178 5,16183,14.98
1 3 KAMAL SINGH,,M 41 GEN HJCBL,14228 5,14233,13.17
4 4 NARENDER,,M 36 GEN BSP,8369 0,8369,7.75
5 5 MEENA KUMARI,,F 31 GEN BJP,3455 5,3460,3.20
9 6 SURENDER KUMAR,,M 43 GEN SMBHP,1108 0,1108,1.03
16 7 MANGAL SINGH KHARITA,,M 48 GEN IND,458 0,458,0.42
18 8 VIKRAM SINGH TANWAR,,M 25 GEN IND,377 1,378,0.35
15 9 BIR SINGH,,M 59 GEN IND,345 0,345,0.32
7 10 PURUSHOTAM,,M 27 GEN AHNP,274 0,274,0.25
19 11 SATYANARAYAN,,M 59 GEN IND,167 0,167,0.15
17 12 RAKESH KUMAR,,M 39 GEN IND,159 0,159,0.15
6 13 KARAN SINGH,,M 37 GEN BRPP,156 0,156,0.14
14 14 BIJENDER,,M 41 GEN IND,134 0,134,0.12
13 15 JITENDER,,M 36 GEN IND,131 0,131,0.12
8 16 SHAMSHER SINGH,,M 39 SC NELU,83 0,83,0.08
12 17 KRISHAN KUMAR,,M 32 GEN IND,50 0,50,0.05
11 18 AMAR SINGH,,M 73 SC IND,40 0,40,0.04
10 19 AJIT SINGH,,M 39 GEN IND,30 0,30,0.03
,TOTAL:,108003 45,108048,68.17
Turn Out,,,,,
Constituency 59. Bawani Khera,,(SC),TOTAL ELECTORS :,152436,
5 1 RAM KISHAN FOUJI S/O,,M 41 SC INC,35020 19,35039,33.56
DHARAMPAL,,,,,
1 2 AZAD SINGH,,M 44 SC INLD,28755 11,28766,27.55
4 3 MAHENDER SINGH,,M 43 SC HJCBL,25369 7,25376,24.31
2 4 KRISHAN KUMAR S/O,,M 32 SC BSP,5008 0,5008,4.80
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
12 5 JITENDER NATH,,M 46 SC IND,3151 1,3152,3.02
3 6 JAI NARAIN,,M 67 SC BJP,1499 1,1500,1.44
9 7 AJIT,,M 49 SC IND,1107 0,1107,1.06
13 8 NARENDER KUMAR,,M 32 SC IND,815 0,815,0.78
7 9 TEJPAL,,M 33 SC SMBHP,567 0,567,0.54
10 10 OMSINGH DHANAK,,M 60 SC IND,493 0,493,0.47
6 11 KRISHAN KUMAR S/O INDER,,M 29 SC UKSP,460 0,460,0.44
SINGH,,,,,
8 12 BALBIR,,M 58 SC HASWP,374 0,374,0.36
16 13 RAMPAL,,M 37 SC IND,322 0,322,0.31
19 14 SANT LAL,,M 64 SC IND,290 0,290,0.28
17 15 ROSHAN LAL,,M 50 SC IND,289 0,289,0.28
15 16 RAMKISHAN S/O FATTU,,M 53 SC IND,268 0,268,0.26
14 17 RANDHIR SINGH,,M 37 SC IND,229 0,229,0.22
11 18 KARAN SINGH,,M 43 SC IND,224 0,224,0.21
18 19 SATYAWAN,,M 28 SC IND,122 0,122,0.12
,TOTAL:,104362 39,104401,68.49
Turn Out,,,,,
Constituency 60. Meham,,,TOTAL ELECTORS :,150515,
3 1 ANAND SINGH,,M 58 GEN INC,43877 87,43964,37.59
15 2 SHAMSHER,,M 52 GEN IND,36971 27,36998,31.63
4 3 BALBIR SINGH,,M 46 GEN INLD,15297 17,15314,13.09
2 4 ANIL,,M 42 GEN HJCBL,8442 8,8450,7.22
16 5 SUNIL,,M 44 GEN IND,6161 4,6165,5.27
5 6 RAJ RANI SHARMA,,F 34 GEN BSP,3986 3,3989,3.41
1 7 AJIT,,M 38 GEN BJP,671 3,674,0.58
14 8 RAJESH,,M 32 GEN IND,585 0,585,0.50
13 9 RAMESH,,M 43 GEN IND,197 0,197,0.17
12 10 RAGHBIR SINGH,,M 59 SC IND,140 0,140,0.12
11 11 BALJEET,,M 40 GEN IND,106 0,106,0.09
9 12 KRISHAN,,M 46 GEN IND,100 0,100,0.09
7 13 SATYAWAN NEHRA,,M 32 GEN SMBHP,95 0,95,0.08
6 14 JAGMENDER,,M 32 SC BRPP,94 0,94,0.08
8 15 KASHMIR,,M 34 GEN IND,68 0,68,0.06
10 16 DALIP SINGH,,M 60 GEN IND,24 0,24,0.02
,TOTAL:,116814 149,116963,77.71
Turn Out,,,,,
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
Constituency,61. Garhi Sampla-Kiloi,,TOTAL ELECTORS :,164050,
2 1 BHUPINDER SINGH,,M 62 GEN INC,89796 53,89849,79.81
4 2 SATISH KUMAR,,M 45 GEN INLD,17737 12,17749,15.77
1 3 FATEH SINGH,,M 56 GEN BSP,2135 0,2135,1.90
6 4 SOM DEV,,M 40 GEN BJP,936 0,936,0.83
5 5 SURESH KUMAR,,M 49 GEN HJCBL,674 2,676,0.60
3 6 RAJPAL SINGH,,M 47 GEN NCP,497 0,497,0.44
10 7 BALBIR,,M 47 GEN IND,404 0,404,0.36
9 8 KRISHAN,,M 43 GEN IND,218 0,218,0.19
7 9 SANT DHARAMVIR,,M 37 GEN SMBHP,64 0,64,0.06
CHOTIWALA,,,,,
8 10 KARAN SINGH,,M 60 GEN IND,49 0,49,0.04
,TOTAL:,112510 67,112577,68.62
Turn Out,,,,,
Constituency,62. Rohtak,,TOTAL ELECTORS :,133671,
3 1 BHARAT BHUSHAN BATRA,,M 57 GEN INC,46995 56,47051,56.64
4 2 MANISH GROVER,,M 52 GEN BJP,27437 19,27456,33.05
1 3 DHARAM PAL,,M 59 GEN INLD,3849 6,3855,4.64
2 4 BALWAN SINGH,,M 48 GEN BSP,2522 4,2526,3.04
5 5 YOGINDER NATH,,M 50 GEN HJCBL,706 2,708,0.85
10 6 MAHESH,,M 29 GEN IND,439 0,439,0.53
6 7 NARENDER KUMAR,,M 31 GEN RARS,295 1,296,0.36
12 8 RAHUL JAIN,,M 32 GEN IND,269 0,269,0.32
11 9 RANJEET,,M 30 GEN IND,145 0,145,0.17
7 10 NAVEEN ARYA,,M 27 SC SMBHP,123 0,123,0.15
8 11 ZILE SINGH,,M 70 SC IND,106 0,106,0.13
9 12 MANOJ,,M 40 GEN IND,98 0,98,0.12
,TOTAL:,82984 88,83072,62.15
Turn Out,,,,,
Constituency,63. Kalanaur,(SC),TOTAL ELECTORS :,147923,
5 1 SHAKUNTLA,,F 41 SC INC,52059 83,52142,56.73
1 2 NAGA RAM,,M 57 SC INLD,24263 19,24282,26.42
3 3 RAMAVTAR,,M 34 SC BJP,11088 9,11097,12.07
2 4 BIJENDER BALIANA,,M 36 SC CPM,1306 0,1306,1.42
4 5 RAMDHARI,,M 55 SC HJCBL,719 0,719,0.78
12 6 SATYAWAN RANGA,,M 34 SC IND,673 0,673,0.73
6 7 DHARAMPAL PACHARWAL,,M 63 SC UKSP,652 0,652,0.71
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
8 8 MUKESH,,M 30 SC LJP,487 0,487,0.53
9 9 RAJESH,,M 36 SC SMBHP,189 0,189,0.21
11 10 SATYA KUMAR SAROHA,,M 39 SC IND,154 0,154,0.17
10 11 NARESH,,M 38 SC IND,114 0,114,0.12
7 12 PARMOD,,M 34 SC HASWP,103 0,103,0.11
,TOTAL:,91807 111,91918,62.14
Turn Out,,,,,
Constituency 64. Bahadurgarh,,,TOTAL ELECTORS :,134227,
5 1 RAJINDER SINGH JOON,,M 53 GEN INC,38633 8,38641,43.29
2 2 NAFE SINGH RATHI,,M 51 GEN INLD,19283 6,19289,21.61
7 3 RAMESH SINGH,,M 48 GEN HASWP,15848 0,15848,17.75
3 4 NARESH KUMAR,,M 46 GEN BJP,6734 1,6735,7.54
4 5 RAJ SINGH,,M 48 GEN HJCBL,4177 1,4178,4.68
1 6 ANIL KUMAR,,M 43 GEN BSP,2270 0,2270,2.54
8 7 AJIT JANGRA,,M 34 GEN IND,832 0,832,0.93
6 8 MAHESH ARYA,,M 34 GEN RARS,613 0,613,0.69
12 9 YOGESH DALAL,,M 27 GEN IND,446 0,446,0.50
11 10 BHAGAT SINGH,,M 45 GEN IND,160 1,161,0.18
10 11 NARAIN,,M 53 GEN IND,157 0,157,0.18
9 12 KAPTAN,,M 29 GEN IND,98 0,98,0.11
,TOTAL:,89251 17,89268,66.51
Turn Out,,,,,
Constituency 65. Badli,,,TOTAL ELECTORS :,137879,
1 1 NARESH KUMAR,,M 48 GEN INC,33179 7,33186,36.74
16 2 BRIJENDER SINGH CHAHAR,,M 46 GEN IND,19826 2,19828,21.95
5 3 SANJAY KABLANA,,M 33 GEN BJP,12492 3,12495,13.83
4 4 RAJENDER SINGH,,M 56 GEN INLD,9993 0,9993,11.06
2 5 MANOJ YADAV,,M 36 GEN BSP,7337 1,7338,8.12
3 6 RAJ KANWAR ALIAS RAJU,,M 44 GEN HJCBL,3267 1,3268,3.62
DAWLA,,,,,
13 7 DR.OMPARKASH DHANKHAR,,M 60 GEN IND,753 0,753,0.83
6 8 JEETRAM ALIAS ARYA,,M 33 GEN RARS,588 0,588,0.65
JITENDER GULIA,,,,,
12 9 RAM KANWAR,,M 56 SC UKSP,520 0,520,0.58
14 10 PARVEEN KUMAR,,M 28 GEN IND,479 0,479,0.53
17 11 VINOD KUMAR,,M 35 GEN IND,466 0,466,0.52
7 12 PARDEEP,,M 30 GEN HASWP,269 0,269,0.30
15 13 BALJEET,,M 44 GEN IND,211 0,211,0.23
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
8 14 BIJEPAL,,M 34 GEN SMBHP,209 0,209,0.23
20 15 HARI SINGH,,M 88 GEN IND,190 0,190,0.21
18 16 SHAMSHER SINGH,,M 38 GEN IND,173 0,173,0.19
10 17 RAVINDER KUMAR,,M 27 GEN JD(S),157 0,157,0.17
19 18 HARISH,,M 33 GEN IND,92 0,92,0.10
11 19 RAJESH,,M 35 GEN SP,57 0,57,0.06
9 20 MANVEER,,M 33 GEN JKNPP,45 0,45,0.05
,TOTAL:,90303 14,90317,65.50
Turn Out,,,,,
Constituency 66. Jhajjar,,(SC),TOTAL ELECTORS :,136357,
4 1 GEETA,,F 40 SC INC,48784 22,48806,60.25
2 2 KANTA DEVI,,F 47 SC INLD,21015 8,21023,25.95
5 3 SACHIN BALMIKI,,M 31 SC HJCBL,4164 1,4165,5.14
1 4 AZAD SINGH,,M 62 SC BJP,2538 1,2539,3.13
3 5 KISHORE KUMAR RAJORA,,M 35 SC BSP,1660 0,1660,2.05
13 6 SURENDER SINGH,,M 35 SC IND,1614 1,1615,1.99
10 7 RAJAL,,M 32 SC IND,446 0,446,0.55
11 8 SANJAY,,M 36 SC IND,232 0,232,0.29
9 9 NARSINGH,,M 35 SC IND,143 0,143,0.18
12 10 SANJAY KUMAR,,M 33 SC IND,128 0,128,0.16
7 11 GURDEEP,,M 29 SC IND,98 0,98,0.12
6 12 RAKESH KUMAR,,M 41 SC SMBHP,87 0,87,0.11
8 13 JAI KISHAN,,M 44 SC IND,69 0,69,0.09
,TOTAL:,80978 33,81011,59.41
Turn Out,,,,,
Constituency 67. Beri,,,TOTAL ELECTORS :,138650,
3 1 DR. RAGHUBIR SINGH,,M 65 GEN INC,37716 26,37742,39.48
11 2 CHATAR SINGH,,M 46 GEN IND,32560 6,32566,34.07
2 3 OM PARKASH,,M 70 GEN INLD,15522 16,15538,16.25
9 4 SUMIT,,M 35 GEN HASWP,4549 0,4549,4.76
4 5 SHYAM PHUL,,M 44 GEN BSP,1784 0,1784,1.87
14 6 MUKESH DUTT,,M 27 GEN IND,738 0,738,0.77
1 7 ASHOK KUMAR,,M 42 GEN BJP,603 0,603,0.63
5 8 SUNIL KUMAR,,M 28 GEN HJCBL,570 0,570,0.60
10 9 ARYA HAWA SINGH DALAL,,M 49 GEN RARS,329 0,329,0.34
12 10 PARDEEP,,M 32 GEN IND,287 0,287,0.30
8 11 SANJAY KUMAR,,M 35 GEN SP,197 0,197,0.21
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
6 12 VIJAY KUMAR,,M 34 GEN SMBHP,184 0,184,0.19
16 13 SURESH VEDI,,F 49 GEN IND,169 2,171,0.18
15 14 SURENDER,,M 25 GEN IND,150 0,150,0.16
13 15 BALWAN,,M 56 GEN IND,123 0,123,0.13
7 16 VIRENDER SINGH,,M 56 GEN AIFB,65 0,65,0.07
,TOTAL:,95546 50,95596,68.95
Turn Out,,,,,
Constituency 68. Ateli,,,TOTAL ELECTORS :,150113,
2 1 ANITA YADAV,,F 45 GEN INC,24008 95,24103,22.44
5 2 SANTOSH YADAV,,F 53 GEN BJP,23011 119,23130,21.53
1 3 AJIT SINGH,,M 56 GEN INLD,22350 50,22400,20.85
13 4 NARESH YADAV,,M 46 GEN IND,10530 5,10535,9.81
11 5 JASMER SINGH,,M 43 GEN IND,8577 1,8578,7.99
4 6 ROSHAN LAL,,M 48 GEN HJCBL,8168 0,8168,7.60
15 7 BALI RAM ALIAS BILLU,,M 45 GEN IND,5217 1,5218,4.86
3 8 CHANDRA SINGH,,M 76 GEN BSP,1525 0,1525,1.42
12 9 JITENDER PAL,,M 32 GEN IND,882 0,882,0.82
18 10 SUMER SINGH,,M 29 GEN IND,583 0,583,0.54
14 11 BALBIR SINGH,,M 64 GEN IND,463 0,463,0.43
6 12 PRAKASH,,M 40 GEN RARS,442 0,442,0.41
16 13 RAMBIR,,M 42 GEN IND,335 0,335,0.31
17 14 SANYOGITA,,F 42 GEN IND,289 0,289,0.27
8 15 RAJBIR SINGH,,M 29 GEN SMBHP,260 0,260,0.24
