Constituency : 1 . KALKA,,,,,
1 .  PURUSH BHAN,,M,INC,29025,32.30%
2 .  LACHHMAN SINGH,,M,HVP,24034,26.74%
3 .  NARDEV,,M,BJP,22040,24.52%
4 .  KANTI PARKASH BHALLA,,M,JP,5169,5.75%
5 .  PREM SINGH,,M,BSP,4779,5.32%
6 .  AMAR SINGH,,M,IND,1516,1.69%
7 .  KRISHAN CHAND,,M,IND,731,0.81%
8 .  JAGDISH CHAND,,M,IND,583,0.65%
9 .  PUSHPA,,F,IND,259,0.29%
10 .  OM PRAKASH,,M,IND,258,0.29%
11 .  LAJJA RAM,,M,IND,246,0.27%
12 .  KRISHAN DEV,,M,IND,218,0.24%
13 .  SURINDER KUMAR,,M,IND,208,0.23%
14 .  MAHABIR PRASAD,,M,IND,183,0.20%
15 .  SURESH KUMAR,,M,IND,162,0.18%
16 .  ROSHAN LAL,,M,IND,116,0.13%
17 .  TEJINDER MOHAN,,M,IND,84,0.09%
18 .  AMAR NATH,,M,IND,76,0.08%
19 .  VINOD KUMAR,,M,IND,72,0.08%
20 .  RAM KUMAR,,M,IND,58,0.06%
21 .  JAGBIR,,M,IND,56,0.06%
,,,,
ELECTORS : 141447 VOTERS :,,92940 POLL PERCENTAGE :,65.71%,VALID VOTES :,89873
,,,,
Constituency : 2 . NARAINGARH,,,,,
1 .  SURJEET KUMAR,,M,BSP,15407,22.44%
2 .  ASHOK KUMAR,,M,INC,10869,15.83%
3 .  BHARAT BHUSHAN,,M,BJP,9982,14.54%
4 .  JAGPAL SINGH CHAUDHRY,,M,JP,7917,11.53%
5 .  VINOD KUMAR,,M,IND,7581,11.04%
6 .  LAL SINGH,,M,IND,6403,9.32%
7 .  HATHI SINGH,,M,IND,4447,6.48%
8 .  ROSHAN LAL ARYA,,M,HVP,1756,2.56%
9 .  PREETPAL SINGH,,M,IND,1301,1.89%
10 .  JAIPAL,,M,IND,697,1.02%
11 .  BHACMAL,,M,IND,554,0.81%
12 .  RAM NATH,,M,IND,369,0.54%
13 .  RANA MAHARAJ SINGH CHAUHAN,,M,IND,360,0.52%
14 .  DHARAM CHAND,,M,IND,271,0.39%
15 .  SUKHDEV SINGH,,M,DDP,230,0.33%
16 .  JAGBIR SINGH RANA,,M,IND,222,0.32%
17 .  LAJJA RAM,,M,IND,173,0.25%
18 .  MAYARAM,,M,IND,129,0.19%
,,,,
ELECTORS : 95404 VOTERS :,,71236 POLL PERCENTAGE :,74.67%,VALID VOTES :,68668
6 . RAM KUMAR,,M,KM,1570,2.29%
7 . MADAN,,M,IND,1396,2.03%
8 . PREM CHAND,,M,BJP,1313,1.91%
9 . SULTAN,,M,IND,829,1.21%
10 . JASBIR SINGH,,M,IND,679,0.99%
11 . DHARMBIR,,M,IND,292,0.43%
12 . DHARMBIR SINGH,,M,IND,202,0.29%
13 . VINOD KUMAR,,M,IND,182,0.27%
14 . SIRI CHAND,,M,IND,79,0.12%
16 . RAJ KUMAR S/O SATYANARAYAN,,M,IND,71,0.10%
15 . JAGDISH S/O BARKHA,,M,RKD,71,0.10%
18 . THAMBI RAM,,M,IND,65,0.09%
17 . JAGDISH S/O SUNDER LAL,,M,IND,65,0.09%
19 . DARIA SINGH,,M,IND,51,0.07%
20 . SIRI KRISHAN,,M,IND,51,0.07%
21 . RAGHBIR SINGH,,M,IND,46,0.07%
22 . GULAB SINGH,,M,IND,45,0.07%
23 . BIKRAM SINGH,,M,IND,38,0.06%
24 . RAJ KUMAR S/O NET RAM,,M,IND,35,0.05%
25 . MANGE RAM,,M,IND,34,0.05%
26 . KITAB SINGH,,M,IND,32,0.05%
ELECTORS :,101396 VOTERS :,71328,POLL PERCENTAGE :,70.35%,VALID VOTES :,68633
Constituency :,51 . FARIDABAD,,,,,
1 . A. C. CHAUDHARY,,M,INC,45896,46.39%
2 . CHANDER BHATIA,,M,BJP,23006,23.25%
3 . GOBIND RAM NAIN,,M,IND,22260,22.50%
4 . LAJ WANTI,,F,HVP,2159,2.18%
5 . RAM JI LAL,,M,BSP,2056,2.08%
6 . RAM KUMAR MALHOTRA,,M,JP,1183,1.20%
7 . PARTAP SINGH CHAWLA,,M,IND,451,0.46%
8 . ROSHAN LAL GERA,,M,IND,377,0.38%
9 . NANAK CHAND,,M,IND,338,0.34%
10 . HEM RAJ,,M,IND,254,0.26%
11 . LAKHMI CHAND,,M,DDP,154,0.16%
12 . RAJINDER KUMAR,,M,IND,114,0.12%
13 . SURESH CHAND,,M,IND,109,0.11%
14 . NARESH CHAND GUPTA,,M,IND,84,0.08%
15 . DIYA RAM,,M,IND,83,0.08%
16 . DAYA CHAND,,M,IND,62,0.06%
17 . BADRI CHAND SOLANKI,,M,IND,56,0.06%
18 . RAJBIR SINGH,,M,IND,54,0.05%
19 . SHIV DAYAL,,M,IND,46,0.05%
20 . GOPAL KRISHAN DUTTA,,M,IND,41,0.04%
21 . MADAN LAL,,M,IND,33,0.03%
22 . MOHINDER,,M,IND,30,0.03%
23 . SUBHASH CHAND,,M,IND,28,0.03%
24 . PREM CHAND,,M,IND,23,0.02%
25 . SURINDER KUMAR,,M,IND,19,0.02%
26 . GANGA RAM,,M,IND,15,0.02%
ELECTORS :,180067 VOTERS :,101832,POLL PERCENTAGE :,56.55%,VALID VOTES :,98931
ELECTORS :,141569,VOTERS :,83309,POLL PERCENTAGE :,58.85%,VALID VOTES :,80500
No. CANDIDATE,,,SEX,PARTY,VOTES,%
7 . KISHAN CHAND,,,M,DDP,203,0.28%
8 . ROOP CHAND,,,M,IND,182,0.25%
9 . SURESH,,,M,IND,172,0.24%
10 . JASODI NANDAN,,,M,IND,103,0.14%
11 . BABU RAM,,,M,IND,92,0.13%
12 . RAKESH SINGLA,,,M,HCYM,57,0.08%
13 . MOHAN LAL DAGER,,,M,IND,43,0.06%
ELECTORS :,112366 VOTERS :,74616,,POLL PERCENTAGE :,66.40%,VALID VOTES :,71975
Constituency :,55 . HASSANPUR (SC),,,,,,
1 . RAM RATTAN,,,M,INC,24962,37.11%
2 . UDAI BHAN,,,M,JP,24127,35.87%
3 . LAL SINGH,,,M,JD,11402,16.95%
4 . SANTA RAM,,,M,BJP,3736,5.55%
5 . PRABHU DAYAL,,,M,IND,1007,1.50%
6 . UMED SINGH,,,M,IND,684,1.02%
7 . GHASI RAM,,,M,IND,532,0.79%
8 . CHIRANJI RAM,,,M,IND,221,0.33%
9 . MASTER PURAN LAL,,,M,IND,175,0.26%
10 . CHANDGI RAM,,,M,IND,116,0.17%
11 . CHETA,,,M,DDP,107,0.16%
12 . SARJIT,,,M,IND,106,0.16%
13 . RAMESH KUMAR,,,M,IND,96,0.14%
ELECTORS :,108263 VOTERS :,70345,,POLL PERCENTAGE :,64.98%,VALID VOTES :,67271
Constituency :,56 . HATHIN,,,,,,
1 . AJMAT KHAN,,,M,INC,18250,28.35%
2 . BHAGWAN SAYE,,,M,JD,15334,23.82%
3 . HARSH KUMAR,,,M,IND,13959,21.68%
4 . SHIV RAM,,,M,JP,11525,17.90%
5 . VED RAM,,,M,BJP,4462,6.93%
6 . SATBIR,,,M,IND,208,0.32%
7 . NATHI RAM,,,M,DDP,78,0.12%
8 . YUNAS,,,M,IND,67,0.10%
9 . CHHUTTAN,,,M,IND,66,0.10%
10 . SUMSHER KHAN,,,M,IND,66,0.10%
11 . KARAN SINGH,,,M,IND,63,0.10%
12 . JASMAI KHAN ALIAS JASMAL KHAN,,,M,IND,59,0.09%
13 . CHATARBHUJ,,,M,IND,56,0.09%
14 . DEENU,,,M,IND,40,0.06%
15 . HARI CHANDER,,,M,IND,39,0.06%
16 . MOHD. IBRAHIM,,,M,IND,29,0.05%
17 . ROOP CHNAD,,,M,IND,27,0.04%
18 . RAJENDER SINGH,,,M,IND,26,0.04%
19 . DEBI RAM,,,M,IND,21,0.03%
ELECTORS :,99945 VOTERS :,67549,,POLL PERCENTAGE :,67.59%,VALID VOTES :,64375
Constituency :,57 . FEROZEPUR JHIRKA,,,,,,
1 . SHAKRULLA KHAN,,,M,INC,22661,32.45%
2 . ISHAQ,,,M,JD,19184,27.47%
3 . IQBAL,,,M,IND,8545,12.24%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
4 . JASWANT KUMAR,,,M,BJP,7285,10.43%
5 . AZMAT KHAN,,,M,IND,4523,6.48%
6 . SARDAR MOHAMMAD,,,M,IND,4394,6.29%
7 . MUBEEN KHAN,,,M,IND,2109,3.02%
8 . ABDUL RAHIM,,,M,IND,441,0.63%
9 . ALTAF HUSSAIN,,,M,JP,428,0.61%
10 . NARESH KUMAR,,,M,DDP,146,0.21%
11 . PREM CHAND PREMI,,,M,IND,58,0.08%
12 . TAYYAB,,,M,IND,52,0.07%
ELECTORS :,108715 VOTERS :,,73237,POLL PERCENTAGE :,67.37%,VALID VOTES :,69826
Constituency :,58 . NUH,,,,,,
1 . MOHAMMAD ILIYAS,,,M,INC,17274,28.47%
2 . HAMID HUSSAIN,,,M,IND,13031,21.48%
3 . SARDAR KHAN,,,M,HVP,12062,19.88%
4 . DIN MOHMAD MEWATI,,,M,IND,9715,16.01%
5 . BASHIR AHMED,,,M,BJP,4755,7.84%
6 . DAUD,,,M,JP,2842,4.68%
7 . HEM CHAND SAINI,,,M,IND,369,0.61%
8 . SHAHOOD,,,M,IND,172,0.28%
9 . JUMMA,,,M,IND,113,0.19%
10 . SULEMAN,,,M,IND,94,0.15%
11 . AMAR NATH,,,M,IND,92,0.15%
12 . MOHMAD SHAFI,,,M,IND,61,0.10%
13 . HIDAYAT KHAN,,,M,IND,35,0.06%
14 . RAHIM BUX,,,M,IND,31,0.05%
15 . ZAFAR AHMED,,,M,IND,23,0.04%
ELECTORS :,100610 VOTERS :,,62645,POLL PERCENTAGE :,62.27%,VALID VOTES :,60669
Constituency :,59 . TAORU,,,,,,
1 . ZAKIR HUSSAIN,,,M,IND,28513,39.00%
2 . SURAJ PAL SINGH,,,M,BJP,22613,30.93%
3 . RAJENDER,,,M,JP,9024,12.34%
4 . MOHD. YAQUB KHAN,,,M,JD,8716,11.92%
5 . WALI MOHAMMAD,,,M,INC,3336,4.56%
6 . KANAHIYA SINGH,,,M,IND,375,0.51%
7 . DEEN MOHAMMAD,,,M,IND,128,0.18%
8 . HANIF,,,M,IND,116,0.16%
9 . GAFOOR KHAN,,,M,IND,78,0.11%
10 . MUNSHI RAM,,,M,IND,67,0.09%
11 . SHAKUNTALA,,,F,IND,66,0.09%
12 . RAMAKANT,,,M,DDP,54,0.07%
13 . RAGHUBIR SINGH,,,M,IND,31,0.04%
ELECTORS :,110282 VOTERS :,,77278,POLL PERCENTAGE :,70.07%,VALID VOTES :,73117
Constituency :,60 . SOHNA,,,,,,
1 . DHARAM PAL,,,M,INC,34047,46.66%
2 . ARIDAMAN SINGH,,,M,JP,16703,22.89%
3 . TEJ PAL,,,M,BJP,14084,19.30%
4 . BALBIR SINGH,,,M,JD,4763,6.53%
5 . CHUNI LAL,,,M,SJJP,898,1.23%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
6 . BHOP SINGH,,,M,IND,736,1.01%
7 . RATTAN SINGH,,,M,IND,665,0.91%
8 . RAGHUBIR,,,M,IND,431,0.59%
9 . MAN SINGH,,,M,DDP,156,0.21%
10 . BALBIR,,,M,IND,124,0.17%
11 . CHAND RAM,,,M,IND,113,0.15%
12 . KARAM PAL,,,M,IND,77,0.11%
13 . HAJUMAT,,,M,IND,60,0.08%
14 . KANWAL SINGH,,,M,IND,50,0.07%
15 . VIJAY SINGH,,,M,IND,47,0.06%
16 . HOI RAM,,,M,IND,20,0.03%
ELECTORS :,111813 VOTERS :,75032,,POLL PERCENTAGE :,67.10%,VALID VOTES :,72974
Constituency :,61 . GURGAON,,,,,,
1 . DHARAMBIR S/O PANNU RAM,,,M,INC,37081,44.23%
2 . GOPI CHAND,,,M,IND,17879,21.32%
3 . SITA RAM SINGLA,,,M,BJP,11060,13.19%
4 . GAJRAJ SINGH,,,M,JD,7513,8.96%
5 . NAWAL SINGH,,,M,JP,5786,6.90%
6 . YASHWANT SINGH,,,M,IND,733,0.87%
7 . MAHENDER SINGH,,,M,IND,717,0.86%
8 . JAGDISH RAGHAV,,,M,IND,594,0.71%
9 . MANOHAR LAL GOYAL,,,M,IND,562,0.67%
10 . MAHENDER KUMAR JATAV,,,M,IND,415,0.49%
11 . KISHAN CHAND,,,M,LKD,237,0.28%
12 . RAM NATH,,,M,IND,234,0.28%
13 . PHOOL SINGH,,,M,IND,134,0.16%
14 . PRITHVI RAJ,,,M,IND,107,0.13%
15 . DHARAMBIR SINGH S/O PADAM SINGH,,,M,IND,104,0.12%
16 . FIMAL,,,M,IND,84,0.10%
17 . RAJ KUMAR ADLAKHA,,,M,IND,73,0.09%
18 . RAKESH,,,M,IND,63,0.08%
19 . MANGAL RAM,,,M,IND,62,0.07%
20 . HEM CHAND,,,M,DDP,50,0.06%
21 . VIRENDER SINGH,,,M,IND,49,0.06%
22 . AMARJEET SINGH,,,M,IND,47,0.06%
23 . DEVENDER KUMAR,,,M,IND,47,0.06%
24 . SIRI NIWAS,,,M,IND,44,0.05%
25 . SUDARSHAN KUMAR PAL,,,M,IND,38,0.05%
26 . RANBIR SINGH,,,M,IND,35,0.04%
27 . ROSHAN,,,M,IND,33,0.04%
28 . ASHOK KUMAR MISHRA,,,M,IND,24,0.03%
29 . NARSI RAM,,,M,IND,20,0.02%
30 . HOSHIAR SINGH,,,M,IND,19,0.02%
ELECTORS :,137961 VOTERS :,85970,,POLL PERCENTAGE :,62.31%,VALID VOTES :,83844
Constituency :,62 . PATAUDI (SC),,,,,,
1 . MOHAN LAL,,,M,JP,21566,35.12%
2 . NARAIN SINGH S/O BICHHLA RAM,,,M,HVP,17004,27.69%
3 . SHIV LAL,,,M,INC,12542,20.43%
4 . NARAIN SINGH S/O GIRDHARI LAL,,,M,IND,3019,4.92%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
5 . MAN SINGH,,,M,BJP,2513,4.09%
6 . BABU RAM,,,M,IND,1631,2.66%
7 . HARDWARI LAL,,,M,LKD,1337,2.18%
8 . OM PAL,,,M,IND,633,1.03%
9 . TULSI RAM,,,M,IND,305,0.50%
10 . BARAHN SARUP,,,M,IND,216,0.35%
11 . JAGE RAM,,,M,IND,186,0.30%
12 . GORE LAL,,,M,IND,161,0.26%
13 . RAM PARSHAD,,,M,IND,93,0.15%
14 . SURESH,,,M,IND,84,0.14%
15 . PREM JEET,,,M,IND,65,0.11%
16 . AMAR SINGH,,,M,IND,44,0.07%
ELECTORS :,111045 VOTERS :,64108,,POLL PERCENTAGE :,57.73%,VALID VOTES :,61399
Constituency :,63 . BADHRA,,,,,,
1 . ATTAR SINGH S/O LOK RAM,,,M,HVP,29250,47.62%
2 . DALBIR,,,M,JP,13480,21.95%
3 . DARYA SINGH,,,M,IND,7181,11.69%
4 . ATTAR SINGH S/O RAM SARUP,,,M,BJP,5356,8.72%
5 . DHARAM SINGH,,,M,INC,3978,6.48%
6 . VISHAMEHAR,,,M,IND,879,1.43%
7 . SULTAN,,,M,IND,340,0.55%
8 . DHARMPAL,,,M,IND,202,0.33%
9 . SATDEV,,,M,IND,140,0.23%
10 . ISHWAR SINGH,,,M,IND,103,0.17%
11 . RANBIR,,,M,DDP,91,0.15%
12 . MAHABIR,,,M,IND,82,0.13%
13 . SHEORAJ SINGH,,,M,IND,75,0.12%
14 . CHANDBIR,,,M,IND,67,0.11%
15 . PHOOLBAG,,,M,IND,66,0.11%
16 . ZILE SINGH,,,M,IND,56,0.09%
17 . DHARAMBIR,,,M,IND,41,0.07%
18 . VIRENDER,,,M,IND,20,0.03%
19 . SURENDER KUMAR,,,M,IND,17,0.03%
ELECTORS :,102915 VOTERS :,64205,,POLL PERCENTAGE :,62.39%,VALID VOTES :,61424
Constituency :,64 . DADRI,,,,,,
1 . DAHARAMPAL SINGH,,,M,HVP,20918,33.31%
2 . JAGJEET SINGH,,,M,INC,20838,33.18%
3 . HUKAM SINGH,,,M,JP,14179,22.58%
4 . CHANDER BHAN,,,M,IND,2808,4.47%
5 . ISHWAR SINGH,,,M,BJP,2547,4.06%
6 . TRILOK CHAND SAINI,,,M,IND,389,0.62%
7 . OM PARKASH S/O RAM SARUP,,,M,IND,360,0.57%
8 . VIJAY SINGH,,,M,DDP,184,0.29%
9 . RISHIPAL AYRA,,,M,IND,134,0.21%
10 . GOBIND RAM GARG,,,M,IND,74,0.12%
11 . SURAJ MAL,,,M,IND,64,0.10%
12 . BIMLA,,,F,IND,56,0.09%
13 . OM PARKASH S/O DEVTIA,,,M,IND,55,0.09%
14 . DHARAMVIR SHARAMA,,,M,IND,39,0.06%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
15 . RAJ KUMAR,,,M,IND,34,0.05%
16 . JAI LAL,,,M,IND,31,0.05%
17 . ANAND KUMAR,,,M,IND,30,0.05%
18 . SIMVIR,,,M,IND,24,0.04%
19 . SATYAVIR SINGH,,,M,HCYM,23,0.04%
20 . RAVINDER SINGH,,,M,IND,20,0.03%
ELECTORS :,103925 VOTERS :,65110,,POLL PERCENTAGE :,62.65%,VALID VOTES :,62807
Constituency :,65 . MUNDHAL KHURD,,,,,,
1 . CHHATTER SINGH CHAUHAN,,,M,HVP,26965,46.28%
2 . BIR SINGH,,,M,INC,17006,29.18%
3 . SIRI KISHAN,,,M,JP,9791,16.80%
4 . RISIHI RAM,,,M,BJP,1829,3.14%
5 . DUSHYANT,,,M,IND,1164,2.00%
6 . TULSHI RAM,,,M,IND,126,0.22%
7 . TULSHI,,,M,IND,115,0.20%
8 . SATENDER,,,M,IND,105,0.18%
9 . RISIHIRAJ,,,M,IND,77,0.13%
10 . SOHAN PAL,,,M,IND,65,0.11%
11 . KARNAIL,,,M,IND,62,0.11%
12 . TARASPAL,,,M,IND,61,0.10%
13 . JAGAT SINGH,,,M,IND,59,0.10%
14 . JIA SINGH,,,M,IND,59,0.10%
15 . MAHIPAL,,,M,IND,59,0.10%
16 . SURESH,,,M,IND,56,0.10%
17 . SUBH KARAM,,,M,IND,54,0.09%
18 . PREM,,,M,IND,51,0.09%
19 . RAI SINGH,,,M,IND,51,0.09%
20 . NIHA LSINGH,,,M,IND,50,0.09%
21 . RAM KUMAR,,,M,IND,43,0.07%
23 . GOBIND,,,M,IND,38,0.07%
22 . GULAB SINGH,,,M,IND,38,0.07%
24 . JAI NARAIN SINGH,,,M,IND,38,0.07%
25 . PREM KUMAR,,,M,IND,35,0.06%
26 . RATTAN SINGH,,,M,IND,32,0.05%
27 . LAXMAN,,,M,IND,31,0.05%
28 . GINI,,,M,IND,30,0.05%
29 . MANOHAR SINGH,,,M,IND,30,0.05%
30 . VIJAY SINGH,,,M,IND,29,0.05%
31 . RAMOTAR,,,M,IND,27,0.05%
32 . SURENDER KUMAR,,,M,IND,26,0.04%
33 . JOGINDER SINGH,,,M,IND,24,0.04%
34 . KIRPAL SINGH,,,M,IND,23,0.04%
35 . BALJIT SINGH,,,M,IND,12,0.02%
36 . VIRENDER SINGH,,,M,IND,10,0.02%
ELECTORS :,99353 VOTERS :,59960,,POLL PERCENTAGE :,60.35%,VALID VOTES :,58271
Constituency :,66 . BHIWANI,,,,,,
1 . RAM BHAJAN,,,M,HVP,29390,47.15%
2 . SHIV KUMAR S/O KADAR NATH,,,M,IND,8472,13.59%
3 . RAMESH CHANDER,,,M,INC,7910,12.69%
No. CANDIDATE,,SEX,PARTY,VOTES,%
4 . AJIT,,M,BJP,7458,11.97%
5 . SOHAN LAL,,M,JP,4404,7.07%
6 . UASHU DEV,,M,IND,2139,3.43%
7 . PARTAP SINGH,,M,IND,753,1.21%
8 . LAKHI RAM,,M,IND,310,0.50%
9 . SAWRAN SINGH,,M,IND,137,0.22%
10 . MANI RAM,,M,IND,115,0.18%
11 . SANJAY BKUMAR,,M,IND,90,0.14%
13 . PARVEEN,,M,IND,83,0.13%
12 . SURESH KUMAR S/O RAGHUBIR,,M,IND,83,0.13%
14 . PARTAP NATH,,M,IND,72,0.12%
15 . CHANDER PARKASH,,M,IND,47,0.08%
16 . BHANA RAM,,M,IND,45,0.07%
17 . SHASHI BHUSAN,,M,IND,42,0.07%
19 . DARIYA SINGH,,M,IND,41,0.07%
18 . SHIV KUMAR S/O BUDH RAM,,M,IND,41,0.07%
20 . LAXMAN DASS,,M,IND,40,0.06%
21 . MOTI RAM,,M,IND,38,0.06%
22 . ROSHANS/O BALKISHAN,,M,IND,37,0.06%
23 . LAXMI NARAIN,,M,RPK,36,0.06%
24 . ROHTASH,,M,IND,35,0.06%
25 . KUSHAL PAL,,M,IND,35,0.06%
26 . JAGDISH,,M,IND,33,0.05%
27 . BHAGWAT SAROOP,,M,IND,29,0.05%
30 . SURESH SINGH S/O RAM SINGH,,M,IND,28,0.04%
28 . MAHESH KUMAR AGGARWAL,,M,IND,28,0.04%
29 . RAM SINGH VERMA,,M,IND,28,0.04%
31 . SURESH KUMAR S/O TAK CHAND,,M,IND,27,0.04%
32 . AVINASH,,M,IND,26,0.04%
33 . ROSHAN LAL S/O OM PARKASH,,M,IND,26,0.04%
34 . NIHAL SINGH,,M,IND,24,0.04%
35 . SUKH CHAIN,,M,IND,23,0.04%
36 . PASRIE LAL,,M,IND,22,0.04%
37 . RAJBIR,,M,IND,21,0.03%
38 . SURESH KUMAR S/O MUNANI LAL,,M,IND,21,0.03%
39 . CHANDER SINGH,,M,IND,19,0.03%
40 . SATYAVEER,,M,IND,19,0.03%
42 . SURENDER S/O DHARAM CHAND,,M,IND,18,0.03%
41 . GOBIND RAM,,M,IND,18,0.03%
43 . ZILE SINGH,,M,IND,17,0.03%
44 . RAJENDER,,M,IND,17,0.03%
45 . RAM NIJ DASS,,M,IND,15,0.02%
46 . OM PARKASH S/O MADAN LAL,,M,IND,14,0.02%
47 . JAGWANT,,M,IND,4,0.01%
ELECTORS :,109073 VOTERS :,64107,POLL PERCENTAGE :,58.77%,VALID VOTES :,62330
No. CANDIDATE,,SEX,PARTY,VOTES,%
5 . DHARAM PAL,,M,BSP,552,0.79%
6 . RAJ KUMAR,,M,IND,253,0.36%
7 . SHAMSHER SINGH,,M,IND,238,0.34%
8 . ZILE SINGH,,M,IND,145,0.21%
9 . MAHABIR SINGH,,M,IND,128,0.18%
10 . PRAKASH,,M,IND,94,0.14%
11 . PURAN,,M,IND,84,0.12%
12 . JAIBIR SINGH,,M,IND,61,0.09%
14 . MANI RAM,,M,IND,60,0.09%
13 . PAWAN KUMAR,,M,IND,60,0.09%
15 . RAM NIWAS,,M,IND,56,0.08%
16 . RAN SINGH,,M,IND,55,0.08%
17 . OM PRAKASH S/O NIHAL SINGH,,M,IND,54,0.08%
18 . OM PRAKASH S/O SHUBH RAM,,M,IND,49,0.07%
19 . POPE SINGH,,M,IND,48,0.07%
20 . BANSI,,M,IND,44,0.06%
21 . ATTAR SINGH DHAMAKA,,M,IND,34,0.05%
22 . RAJENDER,,M,IND,33,0.05%
23 . BAJRANG LAL,,M,IND,31,0.04%
24 . SAMER SINGH,,M,IND,29,0.04%
25 . MAHENDER,,M,IND,27,0.04%
26 . HAZARI LAL,,M,IND,25,0.04%
27 . JITENDER,,M,IND,23,0.03%
28 . RAJBIR SINGH,,M,IND,21,0.03%
29 . OM PRAKASH S/O SARDAR SINGH,,M,IND,20,0.03%
30 . JAI BIR,,M,IND,19,0.03%
31 . DALEL,,M,IND,19,0.03%
33 . SURESH,,M,IND,18,0.03%
34 . HEM RAJ,,M,IND,18,0.03%
32 . BHALERAM,,M,IND,18,0.03%
35 . DALBIR,,M,IND,14,0.02%
36 . RAM CHANDER,,M,IND,13,0.02%
37 . RAM MEHAR,,M,IND,13,0.02%
38 . LAKHI RAM,,M,IND,12,0.02%
39 . MADAN,,M,IND,11,0.02%
40 . ATTAR SINGH,,M,IND,10,0.01%
41 . RAMBIR,,M,IND,10,0.01%
42 . RAM SINGH,,M,IND,8,0.01%
43 . HAWA SINGH,,M,IND,7,0.01%
46 . BHOOP SINGH,,M,IND,6,0.01%
45 . DIWAN SINGH,,M,IND,6,0.01%
44 . JAI KARAN,,M,IND,6,0.01%
47 . SATPAL,,M,IND,4,0.01%
ELECTORS :,109549 VOTERS :,71237,POLL PERCENTAGE :,65.03%,VALID VOTES :,69463
Constituency :,68 . LOHARU,,,,,
1 . CHANDRAWATI,,F,JD,23953,39.43%
2 . SOHANLAL,,M,JP,11462,18.87%
3 . SUMITRA,,F,INC,10289,16.94%
4 . VIJAY SEKHAWAT,,M,BJP,3878,6.38%
5 . RAJ SINGH,,M,IND,3636,5.99%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
6 . HARI SINGH,,,M,IND,2928,4.82%
7 . NIHAL SINGH,,,M,IND,1347,2.22%
8 . RAJINDER SINGH,,,M,IND,911,1.50%
9 . GIRDHARI LAL,,,M,IND,653,1.08%
10 . NIRA LAL,,,M,IND,244,0.40%
11 . HARISH KUMAR,,,M,IND,145,0.24%
12 . VED PARKASH,,,M,IND,141,0.23%
13 . ZILE SINGH,,,M,IND,139,0.23%
14 . SUDHA RAM,,,M,IND,138,0.23%
15 . UMED SINGH,,,M,IND,122,0.20%
16 . JAGDISH,,,M,IND,120,0.20%
17 . OM PARKASH,,,M,DDP,110,0.18%
18 . SUDHAN SINGH,,,M,IND,104,0.17%
19 . GOVIND RAM,,,M,IND,96,0.16%
20 . SUMITRA DEVI,,,F,IND,77,0.13%
21 . SHER SINGH,,,M,IND,63,0.10%
22 . SURENDER KUMAR,,,M,IND,60,0.10%
23 . SAROOP SINGH,,,M,IND,58,0.10%
24 . JAGMAL SINGH,,,M,IND,54,0.09%
25 . ATTAR SINGH,,,M,IND,14,0.02%
ELECTORS :,110082 VOTERS :,63801,,POLL PERCENTAGE :,57.96%,VALID VOTES :,60742
Constituency :,69 . BAWANI KHERA (SC),,,,,,
1 . AMAR SINGH,,,M,HVP,21869,36.43%
2 . JAGAN NATH,,,M,JP,14892,24.81%
3 . RAGHBIR SINGH RANGA,,,M,INC,11730,19.54%
4 . HARPHUL SINGH,,,M,IND,5062,8.43%
5 . NAND RAM,,,M,BJP,1558,2.60%
6 . MEWA SINGH BAGRI,,,M,IND,1179,1.96%
7 . RAM SARUP,,,M,IND,874,1.46%
8 . MASTER DEWAN SINGH,,,M,IND,816,1.36%
9 . KASHMIR SINGH,,,M,IND,548,0.91%
10 . OM PARKASH,,,M,IND,363,0.60%
11 . MAHASHYA JAIMAL SINGH MORWAL,,,M,IND,190,0.32%
12 . KITABA,,,M,IND,154,0.26%
13 . KANWAR LAL,,,M,IND,92,0.15%
14 . JAIBIR,,,M,IND,87,0.14%
15 . MAN SINGH,,,M,IND,85,0.14%
16 . RAMESH KUMAR,,,M,IND,72,0.12%
17 . RAMESHWAR DASS,,,M,IND,69,0.11%
18 . LACHHMAN,,,M,IND,68,0.11%
19 . RAM KUMAR S/O PARBHATI,,,M,IND,57,0.09%
20 . MANGTU RAM,,,M,IND,47,0.08%
21 . BALBIR SINGH,,,M,IND,43,0.07%
22 . RAM KISHAN,,,M,IND,41,0.07%
23 . LEKH RAM,,,M,IND,38,0.06%
24 . RAJENDER,,,M,IND,33,0.05%
25 . RAM KUMAR S/O JOT RAM,,,M,IND,29,0.05%
26 . SURAT SINGH,,,M,IND,27,0.04%
ELECTORS :,104946 VOTERS :,62628,,POLL PERCENTAGE :,59.68%,VALID VOTES :,60023
No. CANDIDATE,,,SEX,PARTY,VOTES,%
Constituency : 70 . BARWALA,,,,,,
1 . JOGENDER SINGH,,,M,INC,30099,42.38%
2 . SURENDER,,,M,JD,19474,27.42%
3 . INDER SINGH NAIN,,,M,HVP,10786,15.19%
4 . YOGENDER SINGH,,,M,BJP,5401,7.61%
5 . DHARMAPAL,,,M,IND,1619,2.28%
